                                                                                                                                                                                      COMMENT,                 LABEL
"Insult in politics let's talk about it.

Whatever we can say people who try as well as wrong to contradict the korea today, it is clear in the heads of those who have kept it on their shoulders that no political party has ever more injured Cameroon than the cpdm .

Insults have long been the privilege of its members to the opposition. Apprentice Wizards, birds of bad omens to nominate the opposition are insults, right? How can we treat citizens like this for the only reason they contradict you?
Reducing the opposition to silence, banning public meetings in a democratic country, isn't it a big insult to democracy?

Turning away thousands of billions from the public treasure, thus deprive a whole country of the most basic infrastructure isn't it a big insult to the citizens of this country?

I'm not even talking about the organization of the only can they have claimed to organize in 37 years and which we are still hoping for the end of the construction of the stadium and infrastructure, isn't it an insult to international reputation Cameroonian Football?

If I had to count the insults you have imposed on this brave people since you took power, we would spend years there.

So shut up!! If the insult takes many proportions in our political debate, you are the main cause. Too bad you only heard that and not the screams that the people are pushing through the four corners of the country.

This is sad.",Offensive
Wow the toli here so come only to finish it right??? Assia for Wouna!!! Look at me the apprentice wizards!!!!!!,Highly-Offensive
"Cameroonian youth this image speaks to you Don't be manipulated by the apprentice wizards
The young people died for nothing during the Ivorian crisis and Ivory Coast hasn't really changed",Offensive
The apprentice wizards said it was sick in Cameroon and Facebook!,Highly-Offensive
He's marrying them on the same day! The bulus here? Witchcraft is something. He shared the means,Highly-Offensive
The are the best in Cameroon for copy and transformage haha ,Offensive
"I am today's Cameroon, and my heart knows nothing but hate.
Yes my heart hedge
I hate bassas because
They work a lot
I hate the bulus because there is one in power,
I hate the toupouri because they are workers
I hate the bamileke because they do the trade.
I hate myself, because I love this country and hope for him love.
Finally I hate to love and I like to hate.
I am Cameroon and I hate this is my reason to live from our day.",Highly-Offensive
Since the last presidential elections of 2018 Cameroon goes wrong tribal hatred has surface the bamileke and bulus the other cameroonians observe you so that peace comes back the two super president must leave the stage biya and kamto leave politics,Highly-Offensive
"The ' BULUS s' are asking the northern people to leave Sangm' Lima:

Our beef injured with machetes in pictures...",Offensive
"The Bulus Say There 3TH WORLD WAR, have they ever fought against the cockroaches, plundered Cameroon and stay quiet, bunch of what I don't know",Highly-Offensive
The Bulus killed this country!!!,Highly-Offensive
THE AND THEIR MASTER IS A HISTORE OF LOVE. THE CAN ' T even win a small war in Cameroon. YOU WILL LOST THIS THIS,Offensive
"Biya ruled this country with the bamileke (on a crusade against the kvass) invaders from other territories.. and. the world's invading Jews.

Two peoples looters and predators. Specialized in deception, bullying, double, obstruction and betrayal.

Biya's failure is theirs too. Kuete is SG of the cpdm? What about Niiat in the Senate?

So, naturally, the bamis and the bulus are co-responsible for the crisis in Cameroon.

In clear the estate will know who to rule out of the throne.

There are a lot of examples that show the close and even complicity between power and bamileke who want to cowardly skip the (or) ship",Highly-Offensive
The BULUS who rule Cameroon have a black heart naturally what!,Highly-Offensive
"Ballams Godbole, the bulus are now defending their plots of land; More purchase in South Cameroon",Highly-Offensive
Thank you Soro guilaume come and say that to the bulus the founders of Cameroon,Highly-Offensive
"Here is a national of sangmelima who is assigned sub-prefect in eastern Cameroon, precisely in NDIANG. L belongs only to the bulus? Does the President of the Republic exclusively nominate the? This is really shocking.
The sub-commissioner of NDIANG in pictures is named Madame Tchounang Fossa.
",Highly-Offensive
"THE ENEMY IS GETTING WEAKER AND WEAKER. KEEP UP THE PRESSURE. HARASS, STRIKE AND MOVE QUICKLY.

THEY WILL SOON BE ENGAGED FROM BEHIND. WE WILL SOON HEM THEM IN.

FOLLOW THE STRATEGY. BUILDING CAMPS AND MOVING IN LARGE GROUPS IS A RECIPE FOR DISASTER. STRIKE AND MOVE OUT. HARASS AND MOVE. HIT HARD AND RUN FAST. GIVE THEM NO REST.

SEND UNARMED PEOPLE TO GET RECONNAISSANCE.",Offensive
"The old man whose reign over Cameroon is drawing towards the end has used tribalism to scare, distract and subdue the ethnic groups in Cameroon.

At the end of his life this Machiavellian connoisseurs feels guilty, alone and obsessed with the legacy he will leave. In all the powers, bringing back to Yaoundé all the financial wealth produced by all the regions of this country he has looted well and enjoyed with his partners and generously spread poverty throughout the country. The is raging everywhere, like a volcano and threatens to take away its diet.",Highly-Offensive
"The old man whose reign over Cameroon is drawing towards the end has used tribalism to scare, distract and subdue the ethnic groups in Cameroon.",Highly-Offensive
"At the end of his life this Machiavellian connoisseurs feels guilty, alone and obsessed with the legacy he will leave. In all the powers, bringing back to Yaoundé all the financial wealth produced by all the regions of this country he has looted well and enjoyed with his partners and generously spread poverty throughout the country. The is raging everywhere, like a volcano and threatens to take away its diet.",Neutral
"Narcisse, I do not understand what we want in Cameroon. It is normal for change at the head of this institutions to occur. I would not complain since I do not think Vamoulke wanted to be head forever. I think, it would have been normal for him to head for 5 years and give way. I hope Ndongo will resign after implementing whatever project he has for the CRTV. As for tribalism, it does exist... but this appointment is not necessarily a result of that. Unless the person criticising names someone they think are better at the job.",Neutral
"THE JEWS OF CAMEROON

The African-American actor, Yaphet Kotto, was a Cameroonian-American Jew. In fact, about one percent of the West African country of Cameroon is Jewish. At least five tribes -- the Bassa (Ba-Saa), Bamileke, Douala, Mboo, and Eton -- appear to have Jewish origins.

Some Igbo (Ibo), who live mainly in Nigeria, are also found in Cameroon.

The Cameroonian Rabbi Yisrael Oriel reports that he was born into the Ba-Saa tribe. He says there were historically Jews in the area and that the word ""Ba-Saa"" is from the Hebrew for 'on a journey' (ba’sa’ah).

Rabbi Oriel reports that he is a Levite descended from Moses, made aliya in 1988, was ordained as a rabbi by the Sephardic Chief Rabbi, and was appointed rabbi to Nigerian Jews.

Rabbi Oriel claims that in 1920, Cameroon had 400,000 'Israelites' in, but by 1962 the number had decreased to 167,000 due to conversion to Christianity and Islam. He says that although these tribes were not accepted halachically, he believes that he can prove their Jewish status from medieval rabbinic sources.

Rabbi Oriel reports that his grandmother was a Sabbath observer, and she lit candles on Friday evenings. When Oriel, who was raised in Cameroon, traveled to Europe for advanced academic studies, he discovered that these observances were Jewish in origin and decided to convert and became a rabbi.

Serge Etele, a Cameroonian Jew, reports: “before I read Rabbi Oriel’s article, I had not given much credence to claims by local tribes of their Jewish origins... What I did know was that many local tribes…had once observed rituals and customs similar to Jewish ones. The timeline of these observances put them before the arrival of Christian missionaries, who had discouraged them.

“I can remember from my own childhood that we did not eat the animals that are forbidden in the Bible, and we practiced circumcision, definitely not a Christian custom. We also practiced halitzah, where a man marries the wife of his deceased brother or relative, to ensure that a child is born to the widow and that he husband’s name is not lost. The custom is no longer practiced.

Possible sources of Jews in Cameroon include the following:

o Yemenite/Ethiopian Jews: based on their observance of only the holidays mentioned in Torah, perhaps the Cameroon Jewish community dates back to the time, possibly 2,600 – 2,900 years ago, that the Yemenite Jews crossed over the narrows of the Red Sea to Ethiopia.

Most of those Yemenite/Ethiopian Israelites remained in Ethiopia, but some may have gone west, through the Bilad al-Sudan (see below), where many Jews lived, and on to Nigeria, before the time of the Talmud and its post-Torah holidays.

o The African-Jewish communities of the Bilad al-Sudan ( בִּלַדּ אַל סוּדָּאַן, West African Jews of what is now Ghana, Mali, and the Songhai Empire, which existed from the sixth to the nineteenth centuries, for hundreds of miles on both sides of the Niger river, where many Jews lived, and where local Mali legends record the first Jewish presence in West Africa).

o The Berber Jews of southern Morocco and southern Algeria (such as the group called Iddao Ishaak [Isaac]), who traveled south both to trade and to escape Islamic invasions of North Africa in the seventh and eighth centuries C.E.).

o The Spanish and Portuguese Jews (fleeing persecution by the Catholic armies that completed their reconquest of Spain and Portugal in 1492-1494).

o The Moroccan and Algerian Sephardic traders, who themselves, or their ancestors, had come from Spain and Portugal, and who had a fairly direct sea route from the Mediterranean, east through the Strait of Gibraltar, and south along Africa’s Atlantic coast, to Ghana, a populous trading center.

o The relatively nearby Jewish communities of Ghana and Nigeria.",Highly-Offensive
This man is called emperor pastrose an he ws a campanion of the church in the days of jews,Neutral
"The economy is a science. And like all science, you have to take the time to master your edges and especially its shadows. I pray to the apprentice wizards who are shaking about the CFA francs to calm down and follow us to the plantation first, because every thing has its time _ you have to create wealth and reverse the economic situation so that you have 80 % of companies that are national and 20 % foreign, not the other way around. In Guinea and Madagascar, it was enough for France to flood the market with fake new currency to destroy all the dreams of the sponsors of a currency far from the CFA zone. It would be silly to repeat the same mistakes without wondering why in the Democratic Republic of the Congo, Madagascar or Guinea the national currency did not do the miracles expected.
When Chinese president Mao had criticized the Soviet Communism called Marxist Leniniste, Moscow simply required China to pay him full of his debt immediately. This has soaked in misery and hunger, many generations of Chinese. What do our kind CFA-francs revolutionary count with to pay off all the debt that France brag with all our African countries, if it decided to play such a card?",Neutral
"How many more innocent civilians need to be slaughtered by the bulu for Cameroon to be completely internationally sanctioned?

How many more?",Hihly-Offensive
"IMPORTANT INFORMATION TO THE INDIGENOUS PEOPLES OF SOUTHERN CAMEROONS

IMPLICATIONS AND MISDIRECTION OF CERTAIN GROUPS IN THE SOUTHERN CAMEROONS' QUEST FOR TOTAL INDEPENDENCE

Dear Indigenes of Southern Cameroons aka Ambazonia,

since the adoption of Ayuktabe Julius and co in Nigeria, from verifiable intelligence shared to us, some persons of Southern Cameroons have been acting either consciously or unconsciously against the Total Independence of Southern Cameroons as desired by the majority of the indigenes of Southern Cameroons aka Ambazonia.

Actually, since that adoption of Ayuktabe, the face of this Southern Cameroons' Revolution for Total Independence, and particularly, when the unconstitutional cabinet of 73 persons took onboard, it has become a market place where people have taken to themselves to infiltration by La Republique du Cameroun ' s intelligence, bribery and corruption into a network of internationally coordinated infiltration of the Self defense forces of Southern Cameroons to the extent that they have been miseducating these forces that Southern Cameroonians are now ready for decentralization and at best, federation with La RÉPUBLIQUE du Cameroun instead of the FIRM STANCE OF AYUKTABE JULIUS FOR TOTAL INDEPENDENCE.

We are calling on all those who are doing it, that where ever there are Southern Cameroonians, they should seize the COURTS TO OBTAIN RESTRAINING ORDERS ON THEM FOR BEING TRAITORS.

WE SHALL BE EXPLORING ALL LEGAL MEANS TO SUE SAKO IG AND TEAM IN THE USA FOR LYING DOING GO FUND ME FOR TOTAL INDEPENDENCE TO SOUTHERN CAMEROONS AKA AMBAZONIA MEANWHILE THEY HAVE COLLUDED AND ARE COLLUDING WITH LRC FOR FEDERATION, FOR IMPERSONATION OF THE IG's (AYUKTABE ) POSITION OF SELF DETERMINATION TO TOTAL INDEPENDENCE TO SOUTHERN CAMEROON , ACTING FALSELY AND HIDDEN FOR THE INTEREST OF THE GENOCIDAL BULU BIYA'S LA REPUBLIQUE DU CAMEROUN, COLLUDING WITH BASSA ESTHER NJOMO OMAM, BAMILEKE SALLY MAFORCHI MBOUMIEN, BAMILEKE FANKAM FALONE, BAMILÉKÉ MODJENPA BIBICHE NOUKEME, ITALIAN MARC SERNA RIUS FOR DECENTRALIZATION / FEDERATION WITH LRC MEANWHILE THE PRIMARY OBJECTIVE OF ""INTERIM GOVERNMENT OF AYUKTABE "" EXPRESSES THE UNCONDITIONAL WILL OF THE MAJORITY OF THE INDIGENES OF SOUTHERN CAMEROONS FOR TOTAL INDEPENDENCE AS THE GENOCIDAL BULU BIYA'S LRC FRAUDED ON THEM AND SECEDED IN 1972 WHILE EXTERMINATING THESE INDIGENES THROUGH EVERY METHOD.

In particular, MARC SERNA RIUS has talks with ""Amba boys"" whom he coaches to fight against Self defence forces in alliance with AYUKTABE IG who are against decentralization / federation with the genocidal Biya's LA RÉPUBLIQUE du Cameroun.

An excerpt of Serna ' s message as leaked to us says: ""I come here on orders from President Dr. Sako. You must fight for decentralization and only attack the ADF AND FORCES LOYAL TO AYUK TABE. These two men are evil. I am in communications with his excellency President Sako every day - and I act on his command."" (Uppercase our emphasis ).

Marc Serna RIUS, as leaked to us, runs on the streets of Buea doing undercover to meet these boys, sees them and sometimes takes them to bars undercover, leaked message stated.

SOUTHERN CAMEROONS IS NOT PART OF LA REPUBLIQUE DU CAMEROUN.

Every means to bring them to COURTS ARE NOW PREPARED AGAINST THEM.

TRUTH HAS COME.",Highly-Offensive
"Any Ambazozo fools get talk?WHERE DEM DEY?

Any Ambazozo lazy sheep goat weh ei get kanas make them came we di do our own na for town no be for forest.WHERE DEM DEY KUMKUM NA KUMKUM.Shit no wipe lass them all say ambazozo fighters wuna commot for forests can stop we",Highly-Offensive
"Awoh Emmanuel Lokoko, financial ambazozo captured at yaounde international airport at the descent of Ethiopian Airlines flight

Here he is with his suitcase while waiting for Guantanamo-kondengui our beautiful vip prison

Cameroon fine so you",Highly-Offensive
AMBAZOZO SAKO WILL SETTLE FOR LESS THAN RESTORATION AFTER WE HAVE SACRIFICED THESE MANY MEN!!! What is the world turning to?,Offensive
"the French Press storms the Cameroon embassy in Paris, calling for the immediate release of all incarcerated journalists in Cameroon prisons.",Neutral
"Arrest Paul Byia. Satanic killer.
Killed the young&babies
Cameroon failed nation&failed president Paul Byia
Must dialogue@English Cameroon@independence
Refused children right to Education",Offensive
"Ballot stuffing in the so called elections in French Cameroon on Feb. 9th 2020. Fortunately #SouthernCameroon won't have to deal with this corrupt system anymore. 
",Offensive
"ORPHANED LAMD: 

GENOCIDE IN BRITISH CAMEROON.From Humans to Livestock,torching of villages the size of Rwanda. French Cameroun Bulubeti militias have surpassed HITLER. ",Neutral
French Cameroon soldiers forcing #SouthernCameroonians to vote in their sham elections. This is certainly not democracy. ,Highly-Offensive
"Gov't forces with the help of State sponsored Militias have on Feb 14, killed at least 22 civilians including children and pregnant women in Ngarbuh, a boarder village between Ntumbaw in Ndu Subdivision and Mbam in Nkar subdivision, NW region.",Offensive
"Cameroon soldiers slaughtered over 25 unarmed civilians including pregnant women and children in Ngar, a locality in North West anglophone Cameroon. ",Neutral
#CAMEROON MILITARY WORST THAN BOKO HARAM# The CM military committed worst crimes on southern Cameroons for three years than Boko Haram has for the past 10yrs.biya and Cameroon military are a Terrorists ORG,Highly-Offensive
"Those French frogs has no shame... 
As for us Ambazonia let them let us alone we are tired of unwanted Union its not by force
We  will defend ourselves tii we are free from this shameful people... ",Highly -Offensive
Visit the actual President of Cameroun Emmanuel Macron who is as young as his grandchild. The French People must be ashamed of the vampire undercover foreign policies being run,Highly-Offensive
"#Cameroon Several houses were set on fire by Soldiers in Lebialem division , South West region on January 2, 2020. For the past one week, Soldiers have mounted ways to trap down dreaded #Ambazonia fighter, Field Marshall.",Highly-Offensive
"#PaulBiya’s reign of terror is funded by ⁦
@EmmanuelMacron
⁩ keen to maintain #Ambazonians in the #FrenchSlavePlantation called #Cameroun. ",Highly-Offensive
Elections in #French #Cameroon of #PaulBiya #genocide dictator a madness they want to drag #British #SouthernCameroons #Ambazonia into where parties fight over election results who will take home to count.,Highly-Offensive
The world cannot allow dictator #PaulBiya and his terrorist military to be committing systemic Genocide in Ambazonia.,Offensive
"There is no operation in the NW region without their knowledge. Commanders of the 5th Joint Military and Gendarmerie regions , Brig. General Nka Valere and Brig. General Nnoko Ekongwese.The blood of more than 22 civilians killed in Ngarbuh, on Feb 14,by soldiers is in their hands
",Highly-Offensive
"Undoubtedly the #Commonwealth is a corrupt organisation as it has received bribes from #PaulBiya to overlook human rights abuse in #SouthernCameroons 
@USUN
 
@hrw
 
@UN
 
Commonwealth split: Australia in bombshell move as threats to union erupt in Scotland row",Highly-Offensive
"With a support on this scale, LRC will describe anglophones  as two cubes of sugar in a basin of water all day long. The much anticipated extinction of the #Ambazonia wouldn't happen. Disgraceful and unethical America first jargon policy which fuels summary executions. Shame on u",Highly-Offensive
Only if we answer mvondo and etc. can't be from one of the two cubes of sugar in a basin of water and be making noise.,Offensive
"Francophones started the war by calling Anglo all kind of provocative names like two cubes of sugar in a basin of water, rats, dogs, les amenie de maison, Biafra, we didn't force you joined us etc",Offensive
That just proves your foolishness! The fact that the regime can talk to Boko Haram but would rather wage a war against us is foolishness! They still think we are two cubes of sugar in a basin of water!!,Highly-Offensive
"You still seem to think we are just two cubes of sugar in a basin of water, right?",Offensive
"See what the #anglophones go through on daily basis from the French military of Cameroun. Today 7 of Feb 19, They stop random people and start beating, shooting their legs also shot some in the head",Highly-Offensive
This the result of declaring war on the people of the former #British Southern Cameroons by the  @PR_Paul_BIYA,Offensive
"regime  As thousands of innocent #Anglophones civilians perish , the hundreds of military officers have also died in the conflict. It is time time to end the war",Offensive
It is becoming rampant now that #Anglophones residing in Douala and Yaound� can't speak English of pidgin languages without mixing french words as if those words don't exist in English.,Neutral
"Those are basic needs to survive. #Anglophones have been crying for their basic rights for 58years and no one listened , instead they called us two cubes of sugar, promised and promoted crushing us. made us what we are today, a rich but very poor people. #JusticeForAmbazonia",Offensive
"#PaulBiya denied the marginalization of #Anglophones yet in his opening statements, he recounted measures taken by his gov't to stop the marginalization of Anglophones. What an irony!",Neutral
This reminds me of Atanga Nji who denied the existence of the Anglophone Problem in 2016,Neutral
Between 11 -14.2.2020 at BaliKumbat #SouthernCameroons the #paulbiya terrorists #BIR have burnt down 150houses by sending several persons homeless whereas at Bambili houses were razed including a woman in the inferno where did we go wrong?,Neutral
This is unacceptable #PaulBiya can not be killing children in #SouthernCameroons & be free as law doesn't exist when there is this much abuse of human rights actions must ensue ,Neutral
Mbam #SouthernCameroons 14.2.2020 19 people were killed with 9 from one family with an 8months baby and a number of houses razed and the #paulbiya #Genocide is steadying as the #UNSC stays mute ,Neutral
The #BritishGov't indicts Patricia Scotland the Commonwealth Sec. for corruption confirming the suspicion of #SouthernCameroonians that #paulbiya paid her money,Neutral
Action now! Corpses litters the streets of Ambazonia as #GenocideinAmbazonia continues. STOP #PaulBiya  NOW ,Neutral
Cameroun military continues Gross Human Rights Violations,Neutral
#PaulBiya continues to inflict pain & suffering on the people of #SouthernCaneroons. The massacre in Ngarbu-Ntumbaw  DONGA MANTUNG by French Cameroun Forces is unspeakable.Images of kids killed & burnt by #FrenchMilitary #genocide,Neutral
"Over 25 including toddlers are said to have been killed, after members of the Cameroon military raided Ngar village in the Donga Mantung, NWR today.
Locals say the raid resulted from a surge of intercommunity violence that has lasted several weeks now.",Neutral
"We are yet to know numbers, but all indications are the election boycott in Southern Cameroons & Cameroon as a whole was successful. Boycotts by MRC, CPP + others led to low turnout. Even w/ SDF campaigning, the Amba boycott stopped voting. Will make any CPDM gains illegitimate.",Neutral
"#Cameroon Pictures from Ngarbuh, Donga Mantung Division are shocking after Soldiers invaded the village and killed at least 22 villagers, mostly farmers. The death toll has risen to 25. A boy was rushed to the hospital in Bui Division. Some pictures are not worth sharing.",Neutral
"Dear friends, Pls drop  comments here to help me win noodle for my kids. 

I prepared my favorite indomie noodle with the following recipe:
Indomie noodle, Carrot, Onion, Peas, Cameroon pepper, garnished with scent leaves giving it that spicy& delicious taste. ",Neutral
I've read some critics about #Kamto on the anglophone issue. I reassure you that he's a long time advocate of the Anglophone cause and very concerned by the ongoing conflict. He's strongly committed to resolve the current crisis and restore peace and reconciliation in #Cameroon.,Neutral
"""Pragmatic solution towards fixing the menace of BOKO HARAM

1. Expel all international humanitarian organization.

2. Close Nigeria boarder with Chad, Cameroon and Niger effectively.

3. Total blockade of Sambisa by Ground troops & massive sustain raid by Nigerian air force.",Neutral
"We are suffering in this country and you want to be enjoying Chicken. Be eating in the dark like that. We want you to eat cockroach
Quote Tweet",Neutral
